KEY, COLUMN, SOURCE_TABLE, SOURCE_VALUE, TARGET_TABLE, TARGET_VALUE, COMMENTS
1,Row_ID_O6G3A1_R6,1,
1,Order_ID,5,
1,Order_Date,03-01-20232,
1,Ship_Date,11-12-2023,
1,Ship_Mode,Second Class,
1,Customer_ID,187e662c-bb9b-4869-8747-399f5504e14a,
1,Customer_Name,Kelly Campos,
1,Segment,Consumer,
1,Country,United States,
1,City,Melanieville,
1,State,North Dakota,
1,Region,South,
1,Product_ID,be2b21ab-5588-43fb-8d0e-d1d9a415e66a,
1,Category,Technology,
1,Sub_Category,war,
1,Product_Name,deploy dynamic initiatives,
1,Sales,592.37,
1,Quantity,3,
1,Profit,398.55,
1,Returns,,
1,Payment_Mode,Online,
1,ind1,,
1,ind2,,
