KEY, COLUMN, SOURCE_TABLE, SOURCE_VALUE, TARGET_TABLE, TARGET_VALUE, COMMENTS
10,Order_ID,10,
10,Order_Date,23-10-2023,
10,Ship_Date,12-10-2021,
10,Ship_Mode,Standard Class,
10,Customer_ID,59c9f156-d157-42d1-af17-121854763a1f,
10,Customer_Name,William Yang,
10,Segment,Corporate,
10,Country,United States,
10,City,West Jenniferport,
10,State,Louisiana,
10,Region,North,
10,Product_ID,9a68e96c-6531-473e-92e2-daac5431da63,
10,Category,Office Supplies,
10,Sub_Category,bag,
10,Product_Name,integrate transparent systems,
10,Sales,811.61,
10,Quantity,4,
10,Profit,69.93,
10,Returns,,
10,Payment_Mode,Cash,
10,ind1,,
10,ind2,,
