KEY, COLUMN, SOURCE_TABLE, SOURCE_VALUE, TARGET_TABLE, TARGET_VALUE, COMMENTS
11,Order_ID,10,
11,Order_Date,23-10-2023,
11,Ship_Date,12-10-2021,
11,Ship_Mode,Standard Class,
11,Customer_ID,59c9f156-d157-42d1-af17-121854763a1f,
11,Customer_Name,William Yang,
11,Segment,Corporate,
11,Country,United States,
11,City,West Jenniferport,
11,State,Louisiana,
11,Region,North,
11,Product_ID,9a68e96c-6531-473e-92e2-daac5431da63,
11,Category,Office Supplies,
11,Sub_Category,bag,
11,Product_Name,integrate transparent systems,
11,Sales,811.61,
11,Quantity,4,
11,Profit,69.93,
11,Returns,,
11,Payment_Mode,Cash,
11,ind1,,
11,ind2,,
