KEY, COLUMN, SOURCE_TABLE, SOURCE_VALUE, TARGET_TABLE, TARGET_VALUE, COMMENTS
4,Row_ID_O6G3A1_R6,./input/source1.csv,4,./input/target1.csv,53100,Mismatch
4,Order_ID,./input/source1.csv,CA-2019-152156,./input/target1.csv,CA-2020-119915,Mismatch
4,Order_Date,./input/source1.csv,2019-11-08,./input/target1.csv,2020-05-04,Mismatch
4,Ship_Date,./input/source1.csv,2019-11-11,./input/target1.csv,2020-05-09,Mismatch
4,Customer_ID,./input/source1.csv,CG-12520,./input/target1.csv,CC-12220,Mismatch
4,Customer_Name,./input/source1.csv,Claire Gute,./input/target1.csv,Chris Cortes,Mismatch
4,City,./input/source1.csv,Henderson,./input/target1.csv,Westminster,Mismatch
4,State,./input/source1.csv,Kentucky,./input/target1.csv,California,Mismatch
4,Region,./input/source1.csv,South,./input/target1.csv,West,Mismatch
4,Product_ID,./input/source1.csv,FUR-CH-10000454,./input/target1.csv,OFF-AP-10002684,Mismatch
4,Category,./input/source1.csv,Furniture,./input/target1.csv,Office Supplies,Mismatch
4,Sub_Category,./input/source1.csv,Chairs,./input/target1.csv,Appliances,Mismatch
4,Product_Name,./input/source1.csv,Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back,./input/target1.csv,Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection,Mismatch
4,Sales,./input/source1.csv,731.9400024414062,./input/target1.csv,260.1600036621094,Mismatch
4,Quantity,./input/source1.csv,3,./input/target1.csv,2,Mismatch
4,Profit,./input/source1.csv,219.58200073242188,./input/target1.csv,72.947998046875,Mismatch
4,Payment_Mode,./input/source1.csv,Cards,./input/target1.csv,COD,Mismatch
4,composite_key,./input/source1.csv,4_CA-2019-152156,./input/target1.csv,53100_CA-2020-119915,Mismatch
5,,./input/source1.csv,,./input/target1.csv,,Missing in Target
3,,./input/source1.csv,,./input/target1.csv,,Missing in Source
